由于语法栈中内容较多，为了便于区分，[]为语法栈内容，()为表达式内容

步骤	[语法栈]	(输入串)	表达式
0	['#', 'Prog']	(int)	None
1	['#', 'Dstr']	(int)	1 Dstr
2	['#', 'Stem', 'Decl']	(int)	2 Decl Stem
3	['#', 'Stem', 'Type', 'ID', 'int']	(int)	4 int ID Type
4	['#', 'Stem', 'Type', 'ID']	(ID)	
5	['#', 'Stem', 'Type']	(;)	
6	['#', 'Stem', 'Vari', 'Advr']	(;)	6 Advr Vari
7	['#', 'Stem', 'Vari']	(;)	0
8	['#', 'Stem', ';']	(;)	8 ;
9	['#', 'Stem']	(int)	
10	['#', 'Dstr']	(int)	3 Dstr
11	['#', 'Stem', 'Decl']	(int)	2 Decl Stem
12	['#', 'Stem', 'Type', 'ID', 'int']	(int)	4 int ID Type
13	['#', 'Stem', 'Type', 'ID']	(ID)	
14	['#', 'Stem', 'Type']	(;)	
15	['#', 'Stem', 'Vari', 'Advr']	(;)	6 Advr Vari
16	['#', 'Stem', 'Vari']	(;)	0
17	['#', 'Stem', ';']	(;)	8 ;
18	['#', 'Stem']	(int)	
19	['#', 'Dstr']	(int)	3 Dstr
20	['#', 'Stem', 'Decl']	(int)	2 Decl Stem
21	['#', 'Stem', 'Type', 'ID', 'int']	(int)	4 int ID Type
22	['#', 'Stem', 'Type', 'ID']	(ID)	
23	['#', 'Stem', 'Type']	(()	
24	['#', 'Stem', 'Func']	(()	7 Func
25	['#', 'Stem', 'Epro', 'Bloc', ')', 'Pnum', 'Vpam', '(', 'Mpro']	(()	9 Mpro ( Vpam Pnum ) Bloc Epro
26	['#', 'Stem', 'Epro', 'Bloc', ')', 'Pnum', 'Vpam', '(']	(()	0
27	['#', 'Stem', 'Epro', 'Bloc', ')', 'Pnum', 'Vpam']	(int)	
28	['#', 'Stem', 'Epro', 'Bloc', ')', 'Pnum', 'Pist']	(int)	10 Pist
29	['#', 'Stem', 'Epro', 'Bloc', ')', 'Pnum', 'Ptem', 'Parm']	(int)	12 Parm Ptem
30	['#', 'Stem', 'Epro', 'Bloc', ')', 'Pnum', 'Ptem', 'Advr', 'ID', 'int']	(int)	14 int ID Advr
31	['#', 'Stem', 'Epro', 'Bloc', ')', 'Pnum', 'Ptem', 'Advr', 'ID']	(ID)	
32	['#', 'Stem', 'Epro', 'Bloc', ')', 'Pnum', 'Ptem', 'Advr']	())	
33	['#', 'Stem', 'Epro', 'Bloc', ')', 'Pnum', 'Ptem']	())	0
34	['#', 'Stem', 'Epro', 'Bloc', ')', 'Pnum']	())	0
35	['#', 'Stem', 'Epro', 'Bloc', ')']	())	0
36	['#', 'Stem', 'Epro', 'Bloc']	({)	
37	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec', '{']	({)	15 { Kdec Lstr }
38	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec']	(ID)	
39	['#', 'Stem', 'Epro', '}', 'Lstr']	(ID)	0
40	['#', 'Stem', 'Epro', '}', 'Ltem', 'Lang']	(ID)	18 Lang Ltem
41	['#', 'Stem', 'Epro', '}', 'Ltem', 'Asla']	(ID)	23 Asla
42	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=', 'Push', 'ID', 'Push', 'Mexp']	(ID)	24 Mexp Push ID Push = Expr Upex Pcsk ;
43	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=', 'Push', 'ID', 'Push']	(ID)	0
44	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=', 'Push', 'ID']	(ID)	0
45	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=', 'Push']	(=)	
46	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=']	(=)	0
47	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr']	(ID)	
48	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Aexp']	(ID)	30 Aexp Atem
49	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp', 'Item']	(ID)	37 Item Itmp
50	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp', 'Ftem', 'Fact']	(ID)	40 Fact Ftem
51	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp', 'Ftem', 'FTYP', 'ID', 'Push']	(ID)	45 Push ID FTYP
52	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp', 'Ftem', 'FTYP', 'ID']	(ID)	0
53	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp', 'Ftem', 'FTYP']	(+)	
54	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp', 'Ftem']	(+)	0
55	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp']	(+)	0
56	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Upex', 'Aexp', '+', 'Push']	(+)	38 Push + Aexp Upex
57	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Upex', 'Aexp', '+']	(+)	0
58	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Upex', 'Aexp']	(NUM)	
